Date,AAPL,GOOG,AMZN,META
2017-06-08,36.18883514404297,49.050045013427734,50.51350021362305,154.24559020996094
2017-06-09,34.785552978515625,47.37515640258789,48.91550064086914,149.1509246826172
2017-06-12,33.9543342590332,47.029502868652344,48.24549865722656,147.99440002441406
2017-06-13,34.22750473022461,47.55321502685547,49.03950119018555,150.22767639160156
2017-06-14,33.89362335205078,47.421539306640625,48.82350158691406,149.79898071289062
2017-06-15,33.69048309326172,47.00007629394531,48.208499908447266,149.35032653808594
2017-06-16,33.21882629394531,46.87388610839844,49.385501861572266,150.18780517578125
2017-06-19,34.16913986206055,47.7512321472168,49.75849914550781,152.41110229492188
2017-06-20,33.85859298706055,47.41505813598633,49.62950134277344,151.79296875
2017-06-21,34.05939483642578,47.854976654052734,50.11149978637695,153.44798278808594
2017-06-22,34.003360748291016,47.737266540527344,50.064998626708984,152.9394989013672
2017-06-23,34.15513610839844,48.161224365234375,50.1870002746582,154.60452270507812
2017-06-26,34.0477294921875,47.496856689453125,49.69900131225586,153.12893676757812
2017-06-27,33.559730529785156,46.25291061401367,48.8390007019043,150.12799072265625
2017-06-28,34.0500602722168,46.9093017578125,49.51649856567383,152.77999877929688
2017-06-29,33.54805374145508,45.777076721191406,48.79650115966797,150.5865936279297
2017-06-30,33.627437591552734,45.32518768310547,48.400001525878906,150.5267791748047
2017-07-03,33.50602340698242,44.824920654296875,47.68299865722656,147.9844207763672
2017-07-05,33.6437873840332,45.47382354736328,48.56999969482422,149.88870239257812
2017-07-06,33.32622528076172,45.22343826293945,48.25699996948242,148.37327575683594
2017-07-07,33.664794921875,45.81698226928711,48.9379997253418,150.9853973388672
2017-07-10,33.87026596069336,46.326229095458984,49.82350158691406,153.03921508789062
2017-07-11,33.98000717163086,46.39057540893555,49.70650100708008,154.8039093017578
2017-07-12,34.0290412902832,47.075889587402344,50.32550048828125,158.42300415039062
2017-07-13,34.503028869628906,47.24198532104492,50.03150177001953,158.7819061279297
2017-07-14,34.7995719909668,47.68239974975586,50.09049987792969,159.4897918701172
2017-07-17,34.92098617553711,47.55421829223633,50.50199890136719,159.25051879882812
2017-07-18,35.04240036010742,48.15174865722656,51.22249984741211,162.37112426757812
2017-07-19,35.26188278198242,48.42557144165039,51.34349822998047,163.64727783203125
2017-07-20,35.10311508178711,48.28891372680664,51.435001373291016,164.03610229492188
2017-07-21,35.086761474609375,48.526824951171875,51.28350067138672,163.9364013671875
2017-07-24,35.511722564697266,48.896915435791016,51.9474983215332,165.50169372558594
2017-07-25,35.663482666015625,47.418548583984375,51.993499755859375,164.7838592529297
2017-07-26,35.831600189208984,47.273902893066406,52.63999938964844,165.1128692626953
2017-07-27,35.154476165771484,46.590084075927734,52.29999923706055,169.92837524414062
2017-07-28,34.906978607177734,46.96117401123047,51.00199890136719,171.9323272705078
2017-07-31,34.72718811035156,46.41102600097656,49.388999938964844,168.741943359375
2017-08-01,35.035400390625,46.42748260498047,49.80950164794922,169.35009765625
2017-08-02,36.69084548950195,46.40553665161133,49.794498443603516,168.7917938232422
2017-08-03,36.32426834106445,46.069358825683594,49.34600067138672,168.0839080810547
2017-08-04,36.515724182128906,46.284332275390625,49.37900161743164,169.11082458496094
2017-08-07,37.080780029296875,46.35416030883789,49.61349868774414,171.4637451171875
2017-08-08,37.3773193359375,46.225975036621094,49.492000579833984,170.71597290039062
2017-08-09,37.60612487792969,46.031951904296875,49.10049819946289,170.66615295410156
2017-08-10,36.40830993652344,45.25087356567383,47.84600067138672,166.89747619628906
2017-08-11,36.914634704589844,45.60749816894531,48.39950180053711,167.57545471191406
2017-08-14,37.47018814086914,46.02048110961914,49.165000915527344,170.23744201660156
2017-08-15,37.880393981933594,45.9980354309082,49.137001037597656,170.48667907714844
2017-08-16,37.728031158447266,46.23445510864258,48.909000396728516,169.48968505859375
2017-08-17,37.00370407104492,45.437416076660156,48.028499603271484,166.40896606445312
2017-08-18,36.919307708740234,45.42195129394531,47.923500061035156,166.907470703125
2017-08-21,36.85133743286133,45.22194290161133,47.66450119018555,167.27635192871094
2017-08-22,37.45377731323242,46.121238708496094,48.345001220703125,169.1307830810547
2017-08-23,37.50065231323242,46.2364501953125,47.900001525878906,168.2035675048828
2017-08-24,37.33422088623047,45.951148986816406,47.622501373291016,167.23646545410156
2017-08-25,37.47252655029297,45.68231201171875,47.26300048828125,165.8207550048828
2017-08-28,37.84992599487305,45.57856750488281,47.30099868774414,166.73797607421875
2017-08-29,38.18746566772461,45.9516487121582,47.702999114990234,167.54554748535156
2017-08-30,38.29061508178711,46.36463928222656,48.37950134277344,169.40992736816406
2017-08-31,38.44297790527344,46.8514404296875,49.029998779296875,171.45376586914062
2017-09-01,38.4547004699707,46.7521858215332,48.912498474121094,171.50363159179688
2017-09-05,37.992916107177734,46.30877685546875,48.26350021362305,170.20753479003906
